pinNumber,serialNumber,productId,notes,price,type
5001234567890666,SN176813709550000,674245cf95fc9e3e08b29fac,MOBITAL Norway Bundle,99,Data bundle
5001234567890777,SN176813709550001,674245cf95fc9e3e08b29fac,MOBITAL Norway Bundle,99,Data bundle
5001234567890888,SN176813709550002,674245cf95fc9e3e08b29fac,MOBITAL Norway Bundle,99,Data bundle
5001234567890999,SN176813709550003,674245cf95fc9e3e08b29fac,MOBITAL Norway Bundle,99,Data bundle
5002234567890111,SN176813709550004,674245cf95fc9e3e08b29fac,MOBITAL Norway Bundle,99,Data bundle
5002234567890222,SN176813709550005,674245cf95fc9e3e08b29fac,MOBITAL Norway Bundle,99,Data bundle
5002234567890333,SN176813709550006,674245cf95fc9e3e08b29fac,MOBITAL Norway Bundle,99,Data bundle
5002234567890444,SN176813709550007,674245cf95fc9e3e08b29fac,MOBITAL Norway Bundle,99,Data bundle
5002234567890555,SN176813709550008,674245cf95fc9e3e08b29fac,MOBITAL Norway Bundle,99,Data bundle
5002234567890666,SN176813709550009,674245cf95fc9e3e08b29fac,MOBITAL Norway Bundle,99,Data bundle
